ts,asset,severity,message,status
2026-05-11 15:49:00,ENG-WS51,low,Password spray detection (low confidence),suppressed
2026-05-11 15:56:00,FIN-WS22,low,Known backup job completed,alert
2026-05-11 16:03:00,VPN-GW01,low,OAuth grant added,alert
2026-05-11 16:10:00,DC01,low,EDiscovery export completed,info
2026-05-11 16:17:00,VPN-GW01,high,Large outbound transfer,alert
2026-05-11 16:24:00,HR-LT19,high,OAuth grant added,closed
2026-05-11 16:31:00,SP01,medium,User added to local administrators,suppressed
2026-05-11 16:38:00,BLD-AG03,medium,New browser extension installed,closed
2026-05-11 16:45:00,BLD-AG03,high,Known backup job completed,info
2026-05-11 16:52:00,DC01,medium,Unsigned PowerShell execution,closed
2026-05-11 16:59:00,FIN-WS22,high,EDiscovery export completed,alert
2026-05-11 17:06:00,FIN-WS22,medium,OAuth grant added,info
2026-05-11 17:13:00,BLD-AG03,medium,Password spray detection (low confidence),alert
2026-05-11 17:20:00,BLD-AG03,high,User added to local administrators,suppressed
2026-05-11 17:27:00,FIN-WS22,high,Large outbound transfer,info
2026-05-11 17:34:00,FIN-WS22,high,Impossible travel suppressed by known proxy,closed
2026-05-11 17:41:00,SP01,high,Password spray detection (low confidence),closed
2026-05-11 17:48:00,FIN-WS22,medium,Known backup job completed,closed
2026-05-11 17:55:00,BLD-AG03,medium,Unsigned PowerShell execution,info
2026-05-11 18:02:00,VPN-GW01,high,Large outbound transfer,alert
2026-05-11 18:09:00,VPN-GW01,medium,Legacy VPN cert used,alert
2026-05-11 18:16:00,HR-LT19,medium,Unsigned PowerShell execution,suppressed
2026-05-11 18:23:00,SP01,medium,Impossible travel suppressed by known proxy,closed
2026-05-11 18:30:00,DC01,low,Password spray detection (low confidence),suppressed
2026-05-11 18:37:00,BLD-AG03,high,EDiscovery export completed,suppressed
2026-05-11 18:44:00,ENG-WS51,low,Password spray detection (low confidence),closed
2026-05-11 18:51:00,DC01,medium,EDiscovery export completed,info
2026-05-11 18:58:00,BLD-AG03,low,Impossible travel suppressed by known proxy,closed
2026-05-11 19:05:00,ENG-WS51,medium,Unsigned PowerShell execution,suppressed
2026-05-11 19:12:00,DC01,medium,Legacy VPN cert used,alert
2026-05-11 19:19:00,ENG-WS51,medium,User added to local administrators,suppressed
2026-05-11 19:26:00,FIN-WS22,high,OAuth grant added,info
2026-05-11 19:33:00,DC01,low,EDiscovery export completed,closed
2026-05-11 19:40:00,FIN-WS22,medium,Known backup job completed,alert
2026-05-11 19:47:00,FIN-WS22,high,Legacy VPN cert used,closed
2026-05-11 19:54:00,DC01,low,New browser extension installed,info
2026-05-11 20:01:00,DC01,low,OAuth grant added,alert
2026-05-11 20:08:00,BLD-AG03,medium,Password spray detection (low confidence),suppressed
2026-05-11 20:15:00,HR-LT19,high,User added to local administrators,closed
2026-05-11 20:22:00,VPN-GW01,medium,Unsigned PowerShell execution,suppressed
2026-05-11 20:29:00,BLD-AG03,low,New browser extension installed,alert
2026-05-11 20:36:00,VPN-GW01,high,User added to local administrators,closed
2026-05-11 20:43:00,ENG-WS51,high,Unsigned PowerShell execution,info
2026-05-11 20:50:00,BLD-AG03,high,Password spray detection (low confidence),info
2026-05-11 20:57:00,DC01,high,Known backup job completed,alert
2026-05-11 21:04:00,FIN-WS22,high,New browser extension installed,info
2026-05-11 21:11:00,SP01,medium,Known backup job completed,alert
2026-05-11 21:18:00,ENG-WS51,high,OAuth grant added,suppressed
2026-05-11 21:25:00,VPN-GW01,high,OAuth grant added,alert
2026-05-11 21:32:00,BLD-AG03,high,Password spray detection (low confidence),closed
2026-05-11 21:39:00,HR-LT19,high,EDiscovery export completed,alert
2026-05-11 21:46:00,BLD-AG03,medium,Legacy VPN cert used,info
2026-05-11 21:53:00,SP01,low,Large outbound transfer,closed
2026-05-11 22:00:00,DC01,medium,Large outbound transfer,closed
2026-05-11 22:07:00,DC01,high,Password spray detection (low confidence),alert
2026-05-11 22:14:00,BLD-AG03,low,Legacy VPN cert used,closed
2026-05-11 22:21:00,FIN-WS22,medium,EDiscovery export completed,closed
2026-05-11 22:28:00,SP01,medium,EDiscovery export completed,alert
2026-05-11 22:35:00,ENG-WS51,low,OAuth grant added,info
2026-05-11 22:42:00,ENG-WS51,medium,Legacy VPN cert used,closed
2026-05-11 22:49:00,DC01,low,Known backup job completed,alert
2026-05-11 22:56:00,DC01,high,OAuth grant added,closed
2026-05-11 23:03:00,VPN-GW01,high,Large outbound transfer,info
2026-05-11 23:10:00,DC01,medium,Unsigned PowerShell execution,alert
2026-05-11 23:17:00,SP01,low,Legacy VPN cert used,suppressed
2026-05-11 23:24:00,ENG-WS51,low,Large outbound transfer,suppressed
2026-05-11 23:31:00,HR-LT19,low,User added to local administrators,closed
2026-05-11 23:38:00,FIN-WS22,medium,Password spray detection (low confidence),suppressed
2026-05-11 23:45:00,BLD-AG03,high,Impossible travel suppressed by known proxy,alert
2026-05-11 23:52:00,BLD-AG03,low,Impossible travel suppressed by known proxy,alert
2026-05-11 23:59:00,FIN-WS22,high,User added to local administrators,closed
2026-05-12 00:06:00,ENG-WS51,high,Password spray detection (low confidence),alert
2026-05-12 00:13:00,BLD-AG03,high,OAuth grant added,closed
2026-05-12 00:20:00,BLD-AG03,low,Large outbound transfer,closed
2026-05-12 00:27:00,BLD-AG03,low,New browser extension installed,info
2026-05-12 00:34:00,DC01,high,Legacy VPN cert used,suppressed
2026-05-12 00:41:00,BLD-AG03,low,Known backup job completed,alert
2026-05-12 00:48:00,BLD-AG03,high,New browser extension installed,info
2026-05-12 00:55:00,SP01,medium,New browser extension installed,suppressed
2026-05-12 01:02:00,ENG-WS51,low,Known backup job completed,closed
2026-05-12 01:09:00,VPN-GW01,medium,Unsigned PowerShell execution,suppressed
2026-05-12 01:16:00,HR-LT19,low,Known backup job completed,alert
2026-05-12 01:23:00,SP01,low,Legacy VPN cert used,closed
2026-05-12 01:30:00,SP01,high,Large outbound transfer,suppressed
2026-05-12 01:37:00,HR-LT19,low,Password spray detection (low confidence),closed
2026-05-12 01:44:00,ENG-WS51,high,EDiscovery export completed,closed
2026-05-12 01:51:00,ENG-WS51,low,Password spray detection (low confidence),closed
2026-05-12 01:58:00,SP01,high,User added to local administrators,info
2026-05-12 02:05:00,DC01,medium,User added to local administrators,suppressed
2026-05-12 02:12:00,FIN-WS22,medium,Unsigned PowerShell execution,info
2026-05-12 02:19:00,DC01,high,EDiscovery export completed,closed
2026-05-12 02:26:00,ENG-WS51,medium,Unsigned PowerShell execution,closed
2026-05-12 02:33:00,HR-LT19,high,OAuth grant added,suppressed
2026-05-12 02:40:00,SP01,medium,Impossible travel suppressed by known proxy,suppressed
2026-05-12 02:47:00,FIN-WS22,high,Password spray detection (low confidence),alert
2026-05-12 02:54:00,VPN-GW01,medium,Legacy VPN cert used,info
2026-05-12 03:01:00,SP01,low,Unsigned PowerShell execution,info
2026-05-12 03:08:00,ENG-WS51,high,Unsigned PowerShell execution,closed
2026-05-12 03:15:00,ENG-WS51,low,Known backup job completed,info
2026-05-12 03:22:00,BLD-AG03,high,User added to local administrators,closed
2026-05-12 03:29:00,SP01,high,Legacy VPN cert used,closed
2026-05-12 03:36:00,ENG-WS51,medium,User added to local administrators,suppressed
2026-05-12 03:43:00,SP01,low,Large outbound transfer,alert
2026-05-12 03:50:00,HR-LT19,medium,Known backup job completed,suppressed
2026-05-12 03:57:00,VPN-GW01,high,OAuth grant added,closed
2026-05-12 04:04:00,HR-LT19,high,User added to local administrators,alert
2026-05-12 04:11:00,FIN-WS22,high,New browser extension installed,closed
2026-05-12 04:18:00,SP01,medium,Legacy VPN cert used,alert
2026-05-12 04:25:00,SP01,low,Password spray detection (low confidence),info
2026-05-12 04:32:00,HR-LT19,low,Legacy VPN cert used,closed
2026-05-12 04:39:00,ENG-WS51,medium,New browser extension installed,closed
2026-05-12 04:46:00,DC01,high,Impossible travel suppressed by known proxy,info
2026-05-12 04:53:00,SP01,low,User added to local administrators,info
2026-05-12 05:00:00,HR-LT19,low,EDiscovery export completed,alert
2026-05-12 05:07:00,ENG-WS51,high,Password spray detection (low confidence),alert
2026-05-12 05:14:00,BLD-AG03,high,Legacy VPN cert used,info
2026-05-12 05:21:00,SP01,high,New browser extension installed,closed
2026-05-12 05:28:00,BLD-AG03,high,Known backup job completed,closed
2026-05-12 05:35:00,BLD-AG03,low,Known backup job completed,alert
2026-05-12 05:42:00,BLD-AG03,high,Impossible travel suppressed by known proxy,suppressed
2026-05-12 05:49:00,SP01,high,Unsigned PowerShell execution,closed
2026-05-12 05:56:00,BLD-AG03,low,Password spray detection (low confidence),suppressed
2026-05-12 06:03:00,DC01,high,User added to local administrators,suppressed
2026-05-12 06:10:00,HR-LT19,high,Unsigned PowerShell execution,suppressed
2026-05-12 06:17:00,SP01,medium,Large outbound transfer,suppressed
2026-05-12 06:24:00,SP01,high,Unsigned PowerShell execution,closed
2026-05-12 06:31:00,VPN-GW01,medium,New browser extension installed,closed
2026-05-12 06:38:00,DC01,high,User added to local administrators,suppressed
2026-05-12 06:45:00,FIN-WS22,high,OAuth grant added,closed
2026-05-12 06:52:00,BLD-AG03,medium,Legacy VPN cert used,info
2026-05-12 06:59:00,HR-LT19,high,Impossible travel suppressed by known proxy,alert
2026-05-12 07:06:00,VPN-GW01,medium,New browser extension installed,suppressed
2026-05-12 07:13:00,VPN-GW01,low,Legacy VPN cert used,suppressed
2026-05-12 07:20:00,HR-LT19,high,Legacy VPN cert used,closed
2026-05-12 07:27:00,DC01,low,New browser extension installed,alert
2026-05-12 07:34:00,DC01,high,New browser extension installed,info
2026-05-12 07:41:00,ENG-WS51,low,Legacy VPN cert used,suppressed
2026-05-12 07:48:00,SP01,medium,Large outbound transfer,info
2026-05-12 07:55:00,ENG-WS51,medium,Large outbound transfer,suppressed
2026-05-12 08:02:00,ENG-WS51,low,Password spray detection (low confidence),suppressed
2026-05-12 08:09:00,DC01,low,Known backup job completed,alert
2026-05-12 08:16:00,FIN-WS22,medium,Impossible travel suppressed by known proxy,alert
2026-05-12 08:23:00,FIN-WS22,medium,OAuth grant added,info
2026-05-12 08:30:00,DC01,low,Known backup job completed,suppressed
2026-05-12 08:37:00,HR-LT19,high,Known backup job completed,suppressed
2026-05-12 08:44:00,ENG-WS51,high,Unsigned PowerShell execution,suppressed
2026-05-12 08:51:00,BLD-AG03,high,Legacy VPN cert used,closed
2026-05-12 08:58:00,VPN-GW01,low,OAuth grant added,info
2026-05-12 09:05:00,FIN-WS22,medium,Known backup job completed,suppressed
2026-05-12 09:12:00,FIN-WS22,high,Password spray detection (low confidence),closed
2026-05-12 09:19:00,HR-LT19,medium,OAuth grant added,alert
2026-05-12 09:26:00,VPN-GW01,high,Password spray detection (low confidence),info
2026-05-12 09:33:00,DC01,low,Large outbound transfer,info
2026-05-12 09:40:00,SP01,medium,OAuth grant added,alert
2026-05-12 09:47:00,BLD-AG03,high,EDiscovery export completed,closed
2026-05-12 09:54:00,SP01,medium,Password spray detection (low confidence),alert
2026-05-12 10:01:00,BLD-AG03,medium,Legacy VPN cert used,suppressed
2026-05-12 10:08:00,ENG-WS51,high,New browser extension installed,info
